yelpid,closed,scrapedurl,name,rating,review,verified,pricerange,categorylist,photos,phone,address,morebusinessinfo,openingtimes,lat,lng,seg
angkor-cambodian-bistro-new-york,True,https://www.yelp.com/biz/angkor-cambodian-bistro-new-york,Angkor Cambodian Bistro,4.4,287,Claimed,$$,"Cambodian, Salad, Seafood",599,(212) 758-2111,"408 E 64th St New York, NY 10065","Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Intimate, Romantic, Quiet, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Beer & Wine Only, Gender-neutral restrooms, Dogs Not Allowed, No TV, Bike Parking",Mon: 11:30 AM - 8:00 PM | Tue: 11:30 AM - 8:00 PM | Wed: 11:30 AM - 8:00 PM | Thu: 11:30 AM - 8:00 PM | Fri: 11:30 AM - 8:00 PM | Sat: 11:30 AM - 8:00 PM | Sun: 11:30 AM - 8:00 PM,,,0
eataly-new-york-8,False,https://www.yelp.com/biz/eataly-nyc-flatiron-new-york-3,Eataly NYC Flatiron,3.9,6143,Claimed,$$,"Italian, Pizza, Grocery",>1000,(929) 356-2596,"200 5th Ave New York, NY 10010","Takes Reservations, Offers Delivery, Vegan Options, Accepts Credit Cards, Accepts Apple Pay, Accepts Android Pay, Outdoor Seating, Touristy, Classy, Loud, Casual Dress, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Free Wi-Fi, Happy Hour Specials, Full Bar, Wheelchair Accessible, Dogs Not Allowed, No TV, Bike Parking, Compostable containers available, Provides reusable tableware",Mon: 9:00 AM - 11:00 PM | Tue: 9:00 AM - 11:00 PM | Wed: 9:00 AM - 11:00 PM | Thu: 9:00 AM - 11:00 PM | Fri: 9:00 AM - 11:00 PM | Sat: 9:00 AM - 11:00 PM | Sun: 9:00 AM - 11:00 PM,,,0
empellon-cocina-new-york,True,https://www.yelp.com/biz/empellon-cocina-new-york,Empellon Cocina,3.7,275,Claimed,$$$,Mexican,323,(212) 780-0999,"105 1st Ave New York, NY 10003","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Trendy, Moderate Noise, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Full Bar, No Outdoor Seating, Not Good For Kids, No Wi-Fi, No TV, Bike Parking",Mon: Closed | Tue: 5:30 PM - 1:00 AM (Next day) | Wed: 5:30 PM - 1:00 AM (Next day) | Thu: 5:30 PM - 1:00 AM (Next day) | Fri: 5:30 PM - 1:00 AM (Next day) | Sat: 5:30 PM - 1:00 AM (Next day) | Sun: Closed,,,0
august-laura-brooklyn,True,https://www.yelp.com/biz/august-laura-brooklyn,August Laura,4.7,58,Claimed,$$,Cocktail Bars,19,(718) 858-5483,"387 Court St Brooklyn, NY 11231","Takes Reservations, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Romantic, Intimate, Classy, Quiet, Good for Groups, Background Music, Live Music, Best nights on Thursday, Friday, Full Bar, Smoking Outside Only, Dogs Allowed, Wheelchair Accessible, Gender-neutral restrooms, Not Good For Dancing, No Pool Table, No Wi-Fi, No TV, Bike Parking",Mon: Closed | Tue: 6:00 PM - 2:00 AM (Next day) | Wed: 6:00 PM - 2:00 AM (Next day) | Thu: 6:00 PM - 2:00 AM (Next day) | Fri: 6:00 PM - 3:00 AM (Next day) | Sat: 6:00 PM - 3:00 AM (Next day) | Sun: 6:00 PM - 12:00 AM (Next day),,,0
tangled-vine-new-york,True,https://www.yelp.com/biz/the-tangled-vine-new-york,The Tangled Vine,3.7,264,Claimed,$$,"Mediterranean, Wine Bars",93,(646) 863-3896,"434 Amsterdam Ave New York, NY 10024","Takes Reservations, Offers Takeout, Accepts Credit Cards, Outdoor Seating, Romantic, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Free Wi-Fi, Background Music, Best nights on Friday, Saturday, Sunday, Full Bar, TV, Not Good For Kids, Bike Parking",Mon: 4:30 PM - 11:00 PM | Tue: 4:30 PM - 12:00 AM (Next day) | Wed: 4:30 PM - 12:00 AM (Next day) | Thu: 4:30 PM - 12:00 AM (Next day) | Fri: 4:30 PM - 1:00 AM (Next day) | Sat: 3:00 PM - 1:00 AM (Next day) | Sun: 3:00 PM - 11:00 PM,,,0
the-general-greene-brooklyn-2,True,https://www.yelp.com/biz/the-general-greene-brooklyn-2,The General Greene,2.7,485,Claimed,$$,"New American, Desserts",79,NA,"229 Dekalb Ave Brooklyn, NY 11205","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Outdoor Seating, Casual, Moderate Noise, Good for Groups, Good For Kids, Street Parking, Free Wi-Fi, Full Bar, Gender-neutral restrooms, Offers Catering, No TV, Bike Parking",Mon: 8:00 AM - 11:00 PM | Tue: 8:00 AM - 11:00 PM | Wed: 8:00 AM - 11:00 PM | Thu: 8:00 AM - 11:00 PM | Fri: 8:00 AM - 12:00 AM (Next day) | Sat: 8:00 AM - 12:00 AM (Next day) | Sun: 8:00 AM - 11:00 PM,,,0
caf%c3%a9-altro-paradiso-new-york-2,False,https://www.yelp.com/biz/altro-paradiso-new-york,Altro Paradiso,3.6,244,Claimed,$$$,Italian,393,(646) 952-0828,"234 Spring St New York, NY 10013","Health Score A, Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Trendy, Loud, Casual Dress, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Full Bar, Wheelchair Accessible, Gender-neutral restrooms, Latinx-owned, Open to All, Heated Outdoor Seating, Not Good For Kids, No Wi-Fi, Dogs Not Allowed, No TV, No Bike Parking",Mon: 12:00 PM - 10:30 PM | Tue: 12:00 PM - 10:30 PM | Wed: 12:00 PM - 10:30 PM | Thu: 12:00 PM - 10:30 PM | Fri: 12:00 PM - 10:30 PM | Sat: 12:00 PM - 10:30 PM | Sun: 12:00 PM - 10:00 PM,,,0
flinders-lane-new-york,True,https://www.yelp.com/biz/flinders-lane-new-york,Flinders Lane,4.1,226,Claimed,$$,"Australian, Wine Bars, Asian Fusion",395,(212) 228-6900,"162 Avenue A New York, NY 10009","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good for Brunch, Dinner, Street Parking, Waiter Service, Free Wi-Fi, Background Music, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, Not Good For Dancing, No Smoking, Dogs Not Allowed, Not Wheelchair Accessible, No TV, Bike Parking",Mon: 5:30 PM - 11:00 PM | Tue: 5:30 PM - 11:00 PM | Wed: 5:30 PM - 11:00 PM | Thu: 5:30 PM - 11:00 PM | Fri: 5:30 PM - 12:00 AM (Next day) | Sat: 11:00 AM - 12:00 AM (Next day) | Sun: 11:00 AM - 10:00 PM,,,0
strong-place-brooklyn,True,https://www.yelp.com/biz/strong-place-brooklyn,Strong Place,3.7,215,Claimed,$$,"Gastropubs, New American, Sandwiches",82,(718) 855-2105,"270 Court St Brooklyn, NY 11231","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Outdoor Seating, Casual, Moderate Noise, Good for Groups, Good for Dinner, Street Parking, Beer & Wine Only, TV, Gender-neutral restrooms, Offers Catering, Not Good For Kids, No Wi-Fi, Bike Parking",Mon: 4:00 PM - 12:00 AM (Next day) | Tue: 4:00 PM - 12:00 AM (Next day) | Wed: 4:00 PM - 12:00 AM (Next day) | Thu: 4:00 PM - 12:00 AM (Next day) | Fri: 11:30 PM - 2:00 AM (Next day) | Sat: 10:30 AM - 2:00 AM (Next day) | Sun: 10:30 AM - 12:00 AM (Next day),,,0
lao-dong-bei-flushing,True,https://www.yelp.com/biz/lao-dong-bei-flushing,Lao Dong Bei,4.0,77,Claimed,$$,"Chinese, Noodles, Soup",94,(718) 539-4100,"44-09 Kissena Blvd Flushing, NY 11355","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Casual, Moderate Noise, Good for Groups, Good For Kids, Street Parking, Beer & Wine Only, TV, No Outdoor Seating, Offers Catering, No Wi-Fi, No Bike Parking",Mon: 11:00 AM - 11:00 PM | Tue: 11:00 AM - 11:00 PM | Wed: 11:00 AM - 11:00 PM | Thu: 11:00 AM - 11:00 PM | Fri: 11:00 AM - 11:00 PM | Sat: 11:00 AM - 11:00 PM | Sun: 11:00 AM - 11:00 PM,,,0
seasonal-new-york,True,https://www.yelp.com/biz/seasonal-new-york,Seasonal,3.9,201,Claimed,$$$,Austrian,186,(212) 957-5550,"132 W 58th St New York, NY 10019","Takes Reservations, Accepts Credit Cards, Classy, Quiet, Good for Groups, Street Parking, Full Bar, No Outdoor Seating, Offers Catering, Not Good For Kids, No TV, No Bike Parking",Mon: 12:00 PM - 10:00 PM | Tue: 12:00 PM - 10:00 PM | Wed: 12:00 PM - 10:00 PM | Thu: 12:00 PM - 10:00 PM | Fri: 12:00 PM - 10:00 PM | Sat: 12:00 PM - 10:00 PM | Sun: 5:00 PM - 10:00 PM,,,0
cherry-new-york-4,True,https://www.yelp.com/biz/cherry-new-york-4,Cherry,3.9,190,Claimed,$$$,Japanese,215,(212) 929-5800,"355 W 16th St New York, NY 10011","Takes Reservations, Offers Takeout, Accepts Credit Cards, Trendy, Moderate Noise, Good for Groups, Street Parking, Free Wi-Fi, Full Bar, No Outdoor Seating, Offers Catering, Not Good For Kids, No TV, No Bike Parking",Mon: 6:00 PM - 11:00 PM | Tue: 6:00 PM - 11:00 PM | Wed: 6:00 PM - 11:00 PM | Thu: 6:00 PM - 12:00 AM (Next day) | Fri: 6:00 PM - 12:00 AM (Next day) | Sat: 6:00 PM - 12:00 AM (Next day) | Sun: Closed,,,0
cafe-at-your-mother-in-law-brooklyn-3,True,https://www.yelp.com/biz/cafe-at-your-mother-in-law-brooklyn-3,Cafe At Your Mother-in-Law,3.9,176,Claimed,$,"Korean, Russian, Uzbek",418,(718) 942-4088,"3071 Brighton 4th St Brooklyn, NY 11235","No Reservations, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Casual, Moderate Noise, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, TV, Gender-neutral restrooms, No Outdoor Seating, Offers Catering, No Wi-Fi, No Alcohol, Bike Parking",Mon: 11:00 AM - 10:00 PM | Tue: 11:00 AM - 10:00 PM | Wed: 11:00 AM - 10:00 PM | Thu: 11:00 AM - 10:00 PM | Fri: 11:00 AM - 10:00 PM | Sat: 11:00 AM - 10:00 PM | Sun: 11:00 AM - 10:00 PM,,,0
mumbai-xpress-floral-park,True,https://www.yelp.com/biz/mumbai-xpress-floral-park,Mumbai Xpress,3.9,165,Claimed,$,"Indian, Vegetarian, Vegan",146,(718) 470-0059,"256-05 Hillside Ave Floral Park, NY 11004","Offers Delivery, Offers Takeout, No Reservations, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Waiter Service, Happy Hour Specials, Wheelchair Accessible, TV, Gender-neutral restrooms, No Outdoor Seating, No Wi-Fi, No Alcohol, Bike Parking",Mon: Closed | Tue: 12:00 PM - 9:30 PM | Wed: 12:00 PM - 9:30 PM | Thu: 12:00 PM - 9:30 PM | Fri: 12:00 PM - 9:30 PM | Sat: 12:00 PM - 9:30 PM | Sun: 12:00 PM - 9:30 PM,,,0
tutti-matti-long-island-city-3,True,https://www.yelp.com/biz/tutti-matti-long-island-city-3,Tutti Matti,3.9,85,Claimed,$$,"Pizza, Italian",159,(718) 937-2900,"47-30 Vernon Blvd Long Island City, NY 11101","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Romantic, Casual, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Dessert, Street Parking, Waiter Service, Free Wi-Fi, Full Bar, Wheelchair Accessible, TV, No Outdoor Seating, Dogs Not Allowed, Bike Parking",Mon: Closed | Tue: 5:00 PM - 10:30 PM | Wed: 5:00 PM - 10:30 PM | Thu: 5:00 PM - 10:30 PM | Fri: 12:00 PM - 11:30 PM | Sat: 12:00 PM - 11:30 PM | Sun: 12:00 PM - 10:30 PM,,,0
carla-halls-southern-kitchen-brooklyn,True,https://www.yelp.com/biz/carla-halls-southern-kitchen-brooklyn,Carla Hall's Southern Kitchen,3.2,161,Claimed,$$,Southern,160,(718) 855-4668,"115 Columbia St Brooklyn, NY 11201","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Waiter Service, Beer & Wine Only, Wheelchair Accessible, No Outdoor Seating, No Wi-Fi, No TV, Bike Parking",Mon: Closed | Tue: Closed | Wed: 4:00 PM - 10:00 PM | Thu: 4:00 PM - 10:00 PM | Fri: 4:00 PM - 10:00 PM | Sat: 2:00 PM - 10:00 PM | Sun: 12:00 PM - 7:00 PM,,,0
corton-new-york,True,https://www.yelp.com/biz/corton-new-york,Corton,3.7,146,Claimed,$$$$,French,193,(212) 219-2777,"239 W Broadway New York, NY 10013","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Classy, Upscale, Quiet, Dressy, Street Parking, Full Bar, No Outdoor Seating, Offers Catering, Not Good For Groups, Not Good For Kids, No Wi-Fi, No TV",Mon: 5:30 PM - 10:30 PM | Tue: 5:30 PM - 10:30 PM | Wed: 5:30 PM - 10:30 PM | Thu: 5:30 PM - 10:30 PM | Fri: 5:30 PM - 11:00 PM | Sat: 5:30 PM - 11:00 PM | Sun: Closed,,,0
campo-de-fiori-brooklyn,True,https://www.yelp.com/biz/campo-de-fiori-brooklyn,Campo de' Fiori,3.2,139,Claimed,$$,"Pizza, Italian",22,(347) 763-0933,"187 5th Ave Brooklyn, NY 11217","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Outdoor Seating, Casual, Moderate Noise, Casual Dress, Good for Groups, Good For Kids, Street Parking, Beer & Wine Only, Offers Catering, No Wi-Fi, No TV, Bike Parking",Mon: Closed | Tue: 11:30 AM - 11:00 PM | Wed: 11:30 AM - 11:00 PM | Thu: 11:30 AM - 11:00 PM | Fri: 11:30 AM - 1:30 AM (Next day) | Sat: 11:30 AM - 1:30 AM (Next day) | Sun: 11:30 AM - 10:00 PM,,,0
wall-and-water-new-york-3,True,https://www.yelp.com/biz/wall-and-water-new-york-3,Wall and Water,3.6,131,Claimed,$$$,New American,32,(212) 590-1234,"75 Wall St New York, NY 10005","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Classy, Moderate Noise, Good for Groups, Street Parking, Free Wi-Fi, Full Bar, No Outdoor Seating, Offers Catering, Not Good For Kids, No TV, No Bike Parking",,,,0
bistro-sk-bronx,True,https://www.yelp.com/biz/bistro-sk-bronx,Bistro SK,4.2,119,Claimed,$$,French,109,(718) 885-1670,"273 City Island Ave Bronx, NY 10464","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Outdoor Seating, Classy, Casual, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Full Bar, No Wi-Fi, No TV, Bike Parking","Mon: Closed | Tue: 5:00 PM - 10:00 PM | Wed: 5:00 PM - 10:00 PM | Thu: 5:00 PM - 10:00 PM | Fri: 5:00 PM - 10:30 PM | Sat: 5:00 PM - 10:30 PM | Sun: 11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM",,,0
g%c3%bcnter-seeger-ny-new-york,True,https://www.yelp.com/biz/g%c3%bcnter-seeger-ny-new-york,Günter Seeger NY,4.4,100,Unclaimed,$$$$,"New American, Modern European",771,(646) 657-0045,"641 Hudson New York, NY 10014","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Intimate, Upscale, Classy, Quiet, Good for Dinner, Waiter Service, Full Bar, Wheelchair Accessible, Gender-neutral restrooms, No Outdoor Seating, Offers Catering, Not Good For Groups, Not Good For Kids, No Wi-Fi, Dogs Not Allowed, No TV, No Bike Parking",Mon: 5:30 PM - 9:30 PM | Tue: 5:30 PM - 9:30 PM | Wed: 5:30 PM - 9:30 PM | Thu: 5:30 PM - 9:30 PM | Fri: 5:30 PM - 9:30 PM | Sat: 5:30 PM - 9:30 PM | Sun: Closed,,,0
mintons-new-york,True,https://www.yelp.com/biz/mintons-new-york-5,Minton's,3.7,235,Claimed,$$$,"Jazz & Blues, American, Bars",235,(212) 243-2222,"206 W 118th St New York, NY 10026","Takes Reservations, Offers Delivery, Offers Takeout, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Intimate, Classy, Moderate Noise, Dressy, Offers Catering, Good for Groups, Good for Dinner, Late Night, Street Parking, Live Music, Best nights on Thursday, Friday, Saturday, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, No Pool Table, No Wi-Fi, No TV, No Bike Parking",Mon: 6:00 PM - 12:00 AM (Next day) | Tue: 6:00 PM - 12:00 AM (Next day) | Wed: 6:00 PM - 12:00 AM (Next day) | Thu: 6:00 PM - 1:00 AM (Next day) | Fri: 6:00 PM - 3:00 AM (Next day) | Sat: 6:00 PM - 3:00 AM (Next day) | Sun: 6:00 PM - 12:00 AM (Next day),,,0
pok-pok-ny-brooklyn-3,True,https://www.yelp.com/biz/pok-pok-ny-brooklyn-3,Pok Pok NY,3.4,522,Claimed,$$,"Thai, Pan Asian, Vietnamese",644,(718) 923-9322,"117 Columbia St Brooklyn, NY 11231","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Hipster, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Waiter Service, Full Bar, Gender-neutral restrooms, No Wi-Fi, Dogs Not Allowed, Not Wheelchair Accessible, No TV, Bike Parking",Mon: 5:30 PM - 10:00 PM | Tue: 5:30 PM - 10:00 PM | Wed: 5:30 PM - 10:00 PM | Thu: 5:30 PM - 10:00 PM | Fri: 5:30 PM - 10:00 PM | Sat: 12:00 PM - 10:00 PM | Sun: 12:00 PM - 10:00 PM,,,0
mission-cantina-new-york,True,https://www.yelp.com/biz/mission-cantina-new-york,Mission Cantina,2.9,364,Claimed,$$,"Mexican, Chinese",428,(212) 254-2233,"172 Orchard St New York, NY 10002","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Hipster, Moderate Noise, Offers Catering, Good for Groups, Street Parking, Full Bar, TV, Not Good For Kids, No Wi-Fi, Bike Parking","Mon: 12:00 PM - 3:30 PM, 5:30 PM - 11:00 PM | Tue: 12:00 PM - 3:30 PM, 5:30 PM - 11:00 PM | Wed: 12:00 PM - 3:30 PM, 5:30 PM - 11:00 PM | Thu: 12:00 PM - 3:30 PM, 5:30 PM - 11:00 PM | Fri: 12:00 PM - 5:00 PM, 5:30 PM - 12:00 AM (Next day) | Sat: 12:00 PM - 5:00 PM, 5:30 PM - 12:00 AM (Next day) | Sun: 12:00 PM - 5:00 PM, 5:30 PM - 11:00 PM",,,0
